9.748164415359497070e-01,9.681460857391357422e-01
9.790823459625244141e-01,9.727526903152465820e-01
9.886272549629211426e-01,9.837106466293334961e-01
9.999090433120727539e-01,9.946196079254150391e-01
9.992715120315551758e-01,9.940029978752136230e-01
9.995919466018676758e-01,9.943202137947082520e-01
9.992711544036865234e-01,9.939961433410644531e-01
9.999406337738037109e-01,9.946488738059997559e-01
9.999935030937194824e-01,9.947078227996826172e-01
9.999980926513671875e-01,9.947144985198974609e-01
9.999985694885253906e-01,9.947133064270019531e-01
9.999847412109375000e-01,9.947006106376647949e-01
9.999752640724182129e-01,9.946882724761962891e-01
9.999904632568359375e-01,9.946891665458679199e-01
9.999766349792480469e-01,9.946860671043395996e-01
1.000000000000000000e+00,9.946969747543334961e-01
9.999997615814208984e-01,9.947048425674438477e-01
1.000000000000000000e+00,9.947032332420349121e-01
1.000000000000000000e+00,9.947022795677185059e-01
9.999991655349731445e-01,9.947023987770080566e-01
9.999982714653015137e-01,9.947035312652587891e-01
9.999997615814208984e-01,9.947062134742736816e-01
9.999980926513671875e-01,9.947081208229064941e-01
9.999991655349731445e-01,9.947104454040527344e-01
9.999997615814208984e-01,9.947112798690795898e-01
9.999995231628417969e-01,9.947072863578796387e-01
9.999982714653015137e-01,9.946946501731872559e-01
9.999996423721313477e-01,9.946812391281127930e-01
9.999996423721313477e-01,9.946450591087341309e-01
9.999986886978149414e-01,9.946013092994689941e-01
9.999964237213134766e-01,9.945852756500244141e-01
9.999938011169433594e-01,9.945998191833496094e-01
9.999904036521911621e-01,9.946089386940002441e-01
9.999879598617553711e-01,9.945943951606750488e-01
9.999935626983642578e-01,9.946229457855224609e-01
9.999946355819702148e-01,9.946575164794921875e-01
9.999833106994628906e-01,9.946115016937255859e-01
9.999843239784240723e-01,9.945766925811767578e-01
9.999792575836181641e-01,9.944485425949096680e-01
9.999633431434631348e-01,9.943290948867797852e-01
9.999653100967407227e-01,9.943199157714843750e-01
9.999835491180419922e-01,9.944258332252502441e-01
9.999903440475463867e-01,9.944050312042236328e-01
9.999941587448120117e-01,9.944302439689636230e-01
9.999977946281433105e-01,9.945878386497497559e-01
9.999989867210388184e-01,9.946609735488891602e-01
9.999983906745910645e-01,9.946836829185485840e-01
9.999877214431762695e-01,9.946773052215576172e-01
9.999929666519165039e-01,9.946966767311096191e-01
9.999964833259582520e-01,9.947056770324707031e-01
9.999927282333374023e-01,9.947029352188110352e-01
9.999729394912719727e-01,9.946792721748352051e-01
9.999765157699584961e-01,9.946394562721252441e-01
9.999777078628540039e-01,9.945374131202697754e-01
9.999315738677978516e-01,9.944303035736083984e-01
9.999301433563232422e-01,9.945126175880432129e-01
9.999023079872131348e-01,9.945250749588012695e-01
9.999372959136962891e-01,9.945890903472900391e-01
9.999839067459106445e-01,9.946790337562561035e-01
9.999959468841552734e-01,9.947082996368408203e-01
9.999977350234985352e-01,9.947137236595153809e-01
9.999963045120239258e-01,9.947127699851989746e-01
9.999949336051940918e-01,9.947103857994079590e-01
9.999796748161315918e-01,9.946855306625366211e-01
9.999650716781616211e-01,9.946615099906921387e-01
9.999605417251586914e-01,9.946582913398742676e-01
9.999594688415527344e-01,9.946531057357788086e-01
9.999458789825439453e-01,9.946300387382507324e-01
9.999109506607055664e-01,9.945878386497497559e-01
9.999065399169921875e-01,9.945845007896423340e-01
9.999423623085021973e-01,9.946262836456298828e-01
9.999679327011108398e-01,9.946547746658325195e-01
9.999748468399047852e-01,9.946610927581787109e-01
9.999706149101257324e-01,9.946475028991699219e-01
9.999799728393554688e-01,9.946594238281250000e-01
9.999887347221374512e-01,9.946781992912292480e-01
9.999905228614807129e-01,9.946859478950500488e-01
9.999900460243225098e-01,9.946795701980590820e-01
9.999907016754150391e-01,9.946743845939636230e-01
9.999932050704956055e-01,9.946820139884948730e-01
9.999952316284179688e-01,9.946981668472290039e-01
9.999955296516418457e-01,9.947002530097961426e-01
9.999955296516418457e-01,9.946996569633483887e-01
9.999956488609313965e-01,9.947019815444946289e-01
9.999951124191284180e-01,9.947001934051513672e-01
9.999943971633911133e-01,9.947000145912170410e-01
9.999938607215881348e-01,9.947032928466796875e-01
9.999886155128479004e-01,9.947006106376647949e-01
9.999824762344360352e-01,9.946959018707275391e-01
9.999755620956420898e-01,9.946898818016052246e-01
9.999780654907226562e-01,9.946931600570678711e-01
9.999800920486450195e-01,9.946958422660827637e-01
9.999785423278808594e-01,9.946934580802917480e-01
9.999707937240600586e-01,9.946809411048889160e-01
9.999511837959289551e-01,9.946580529212951660e-01
9.999897480010986328e-01,9.946938157081604004e-01
9.999955892562866211e-01,9.947017431259155273e-01
9.999967813491821289e-01,9.947062730789184570e-01
9.999949932098388672e-01,9.947078824043273926e-01
9.999883174896240234e-01,9.947015643119812012e-01
9.999470114707946777e-01,9.946610927581787109e-01
9.996749162673950195e-01,9.943929910659790039e-01
9.994541406631469727e-01,9.941689372062683105e-01
9.993556737899780273e-01,9.940667152404785156e-01
9.995490312576293945e-01,9.942540526390075684e-01
9.998478889465332031e-01,9.945490956306457520e-01
9.998825192451477051e-01,9.945784211158752441e-01
9.999133944511413574e-01,9.946150183677673340e-01
9.999088048934936523e-01,9.946115016937255859e-01
9.999145269393920898e-01,9.946136474609375000e-01
9.999530315399169922e-01,9.946476817131042480e-01
9.999828338623046875e-01,9.946800470352172852e-01
9.999952912330627441e-01,9.947018623352050781e-01
9.999974966049194336e-01,9.947041869163513184e-01
9.999982118606567383e-01,9.947062730789184570e-01
9.999965429306030273e-01,9.946874380111694336e-01
9.999935030937194824e-01,9.946501851081848145e-01
9.999930858612060547e-01,9.946271777153015137e-01
9.999933838844299316e-01,9.946006536483764648e-01
9.999958276748657227e-01,9.946581125259399414e-01
9.999966621398925781e-01,9.946856498718261719e-01
9.999968409538269043e-01,9.946964979171752930e-01
9.999970197677612305e-01,9.947053790092468262e-01
9.999963045120239258e-01,9.947021603584289551e-01
9.999966025352478027e-01,9.947026968002319336e-01
9.999960660934448242e-01,9.947038292884826660e-01
9.999765157699584961e-01,9.946684241294860840e-01
9.997587203979492188e-01,9.944017529487609863e-01
9.997016191482543945e-01,9.943367242813110352e-01
9.998993277549743652e-01,9.945465326309204102e-01
9.999690055847167969e-01,9.946509003639221191e-01
9.999654889106750488e-01,9.946720600128173828e-01
9.999393224716186523e-01,9.946538805961608887e-01
9.999836087226867676e-01,9.946998357772827148e-01
9.999849796295166016e-01,9.947015643119812012e-01
9.999615550041198730e-01,9.946786761283874512e-01
9.999305009841918945e-01,9.946480393409729004e-01
9.999672174453735352e-01,9.946838617324829102e-01
9.999953508377075195e-01,9.947105646133422852e-01
9.999975562095642090e-01,9.947109818458557129e-01
9.999960064888000488e-01,9.947093725204467773e-01
9.999948143959045410e-01,9.947078227996826172e-01
9.999946355819702148e-01,9.947043061256408691e-01
9.999933242797851562e-01,9.946983456611633301e-01
9.999905824661254883e-01,9.947004914283752441e-01
9.999920725822448730e-01,9.947027564048767090e-01
9.999909400939941406e-01,9.946950674057006836e-01
9.999822974205017090e-01,9.946706891059875488e-01
9.999821186065673828e-01,9.946607947349548340e-01
9.999618530273437500e-01,9.945933818817138672e-01
9.998528361320495605e-01,9.943640232086181641e-01
9.997600913047790527e-01,9.942910671234130859e-01
9.996842145919799805e-01,9.942777752876281738e-01
9.992622137069702148e-01,9.938784837722778320e-01
9.995284080505371094e-01,9.941822886466979980e-01
9.998813271522521973e-01,9.945796132087707520e-01
9.999195337295532227e-01,9.946281313896179199e-01
9.999493360519409180e-01,9.946594834327697754e-01
9.999793767929077148e-01,9.946929812431335449e-01
9.999852776527404785e-01,9.947009086608886719e-01
9.999823570251464844e-01,9.946990013122558594e-01
9.999768733978271484e-01,9.946937561035156250e-01
9.999749660491943359e-01,9.946916103363037109e-01
9.999870061874389648e-01,9.947029352188110352e-01
9.999964237213134766e-01,9.947103857994079590e-01
9.999991059303283691e-01,9.947084188461303711e-01
9.999998807907104492e-01,9.947022795677185059e-01
9.999998807907104492e-01,9.947143793106079102e-01
9.999998807907104492e-01,9.947162866592407227e-01
9.999998807907104492e-01,9.947163462638854980e-01
9.999997615814208984e-01,9.947163462638854980e-01
9.999997019767761230e-01,9.947160482406616211e-01
9.999997615814208984e-01,9.947161674499511719e-01
9.999999403953552246e-01,9.947161674499511719e-01
