6.945748925209045410e-01,2.492305189371109009e-01,3.472874069213867188e+01,7.306629657745361328e+00,7.643375396728515625e-01,2.458228468894958496e-01,9.247689843177795410e-01,1.092310026288032532e-01
5.997572541236877441e-01,2.742302715778350830e-01,2.998786354064941406e+01,1.089199733734130859e+01,6.047613024711608887e-01,2.648778855800628662e-01,8.097721338272094727e-01,2.138617336750030518e-01
8.837226629257202148e-01,1.276484131813049316e-01,4.418612670898437500e+01,2.170552253723144531e+00,9.010992050170898438e-01,4.488798603415489197e-02,9.451923966407775879e-01,4.001232981681823730e-02
9.154823422431945801e-01,1.375363767147064209e-01,4.577411651611328125e+01,1.961681842803955078e+00,9.366371631622314453e-01,4.011873900890350342e-02,9.694716930389404297e-01,3.379246592521667480e-02
8.858727812767028809e-01,1.359116733074188232e-01,4.429363250732421875e+01,2.895250320434570312e+00,9.052835106849670410e-01,5.925426259636878967e-02,9.355099201202392578e-01,5.769056826829910278e-02
8.063299655914306641e-01,3.012282550334930420e-01,4.031649398803710938e+01,1.301349353790283203e+01,8.354995250701904297e-01,2.777477204799652100e-01,9.412495493888854980e-01,1.029363274574279785e-01
7.979635000228881836e-01,2.092867046594619751e-01,3.989817428588867188e+01,3.485044002532958984e+00,8.160368204116821289e-01,1.808087676763534546e-01,9.569169282913208008e-01,3.868706524372100830e-02
9.367068409919738770e-01,1.385728567838668823e-01,4.683534622192382812e+01,1.321030616760253906e+00,9.610311985015869141e-01,2.861286886036396027e-02,9.784421920776367188e-01,2.073992602527141571e-02
9.509888291358947754e-01,1.331721097230911255e-01,4.754944610595703125e+01,1.003258943557739258e+00,9.724540114402770996e-01,1.827506534755229950e-02,9.918381571769714355e-01,7.817022502422332764e-03
9.373613595962524414e-01,1.441231071949005127e-01,4.686806488037109375e+01,1.303481221199035645e+00,9.636603593826293945e-01,2.663099952042102814e-02,9.759034514427185059e-01,2.191956900060176849e-02
7.670832872390747070e-01,2.819941341876983643e-01,3.835416412353515625e+01,1.279315376281738281e+01,7.834473848342895508e-01,2.639348208904266357e-01,8.618931770324707031e-01,2.187952101230621338e-01
8.846907615661621094e-01,1.463135480880737305e-01,4.423453521728515625e+01,3.216265678405761719e+00,9.066287279129028320e-01,6.962952762842178345e-02,9.585238099098205566e-01,3.163732215762138367e-02
9.251606464385986328e-01,1.630369275808334351e-01,4.625803375244140625e+01,1.325428366661071777e+00,9.614949226379394531e-01,1.776525378227233887e-02,9.852049350738525391e-01,1.232405565679073334e-02
8.774111866950988770e-01,1.286189556121826172e-01,4.387055587768554688e+01,2.415040016174316406e+00,8.936891555786132812e-01,4.916845634579658508e-02,9.605981111526489258e-01,3.675886988639831543e-02
8.571824431419372559e-01,1.470621973276138306e-01,4.285912322998046875e+01,3.843345165252685547e+00,8.742949962615966797e-01,8.194959908723831177e-02,9.698131084442138672e-01,4.777268692851066589e-02
7.769453525543212891e-01,1.687924116849899292e-01,3.884726715087890625e+01,6.048785686492919922e+00,7.962955236434936523e-01,1.254274398088455200e-01,8.731309175491333008e-01,1.123622655868530273e-01
8.368576765060424805e-01,1.852885484695434570e-01,4.184288406372070312e+01,4.552958488464355469e+00,8.914020657539367676e-01,1.077681779861450195e-01,9.815576076507568359e-01,3.040790744125843048e-02
9.031023979187011719e-01,1.673275977373123169e-01,4.515512084960937500e+01,5.576915740966796875e+00,9.214253425598144531e-01,1.151952072978019714e-01,9.579055905342102051e-01,7.310023158788681030e-02
8.072694540023803711e-01,1.342264413833618164e-01,4.036347961425781250e+01,3.769627332687377930e+00,8.224568367004394531e-01,7.731452584266662598e-02,9.071143865585327148e-01,7.657742500305175781e-02
8.411609530448913574e-01,1.266394406557083130e-01,4.205804824829101562e+01,2.717220067977905273e+00,8.569585084915161133e-01,5.527808889746665955e-02,9.300872087478637695e-01,6.078284606337547302e-02
8.483524322509765625e-01,1.213591545820236206e-01,4.241761779785156250e+01,1.947517871856689453e+00,8.640069961547851562e-01,3.957409411668777466e-02,9.429562091827392578e-01,5.613729357719421387e-02
8.495384454727172852e-01,1.284844279289245605e-01,4.247692108154296875e+01,2.835675477981567383e+00,8.646551370620727539e-01,5.766521766781806946e-02,9.515657424926757812e-01,6.163458153605461121e-02
9.123491048812866211e-01,1.543063521385192871e-01,4.561745452880859375e+01,4.545156002044677734e+00,9.301106929779052734e-01,9.292087703943252563e-02,9.693725109100341797e-01,6.156934797763824463e-02
9.175859093666076660e-01,1.461606770753860474e-01,4.587929534912109375e+01,3.825000524520874023e+00,9.351113438606262207e-01,7.864238321781158447e-02,9.699192643165588379e-01,5.706068873405456543e-02
9.467558264732360840e-01,1.369067728519439697e-01,4.733779144287109375e+01,2.432349205017089844e+00,9.647060632705688477e-01,5.024329200387001038e-02,9.859942197799682617e-01,2.695280872285366058e-02
9.430790543556213379e-01,1.362989246845245361e-01,4.715394592285156250e+01,2.416876316070556641e+00,9.609019160270690918e-01,4.994806647300720215e-02,9.829177856445312500e-01,2.143415994942188263e-02
8.735888004302978516e-01,1.453962624073028564e-01,4.367944717407226562e+01,4.219149112701416016e+00,8.897471427917480469e-01,8.673492819070816040e-02,9.330261945724487305e-01,6.333094835281372070e-02
9.362362623214721680e-01,1.402769684791564941e-01,4.681182098388671875e+01,3.015428781509399414e+00,9.542803764343261719e-01,6.226729974150657654e-02,9.739294052124023438e-01,4.162211716175079346e-02
9.184963703155517578e-01,1.297990679740905762e-01,4.592481231689453125e+01,1.932889699935913086e+00,9.357252120971679688e-01,3.994197025895118713e-02,9.652334451675415039e-01,2.958069927990436554e-02
9.591963291168212891e-01,1.323525756597518921e-01,4.795980834960937500e+01,1.362582206726074219e+00,9.776939153671264648e-01,2.819894440472126007e-02,9.878553152084350586e-01,1.806397736072540283e-02
9.489752054214477539e-01,1.308104097843170166e-01,4.744876480102539062e+01,1.328783869743347168e+00,9.668501615524291992e-01,2.755817025899887085e-02,9.895131587982177734e-01,1.092107128351926804e-02
9.348809719085693359e-01,1.324101984500885010e-01,4.674404907226562500e+01,2.002163171768188477e+00,9.524260163307189941e-01,4.138173907995223999e-02,9.800826311111450195e-01,2.235945872962474823e-02
9.701893329620361328e-01,1.315540075302124023e-01,4.850946044921875000e+01,6.069970726966857910e-01,9.887800812721252441e-01,1.256013941019773483e-02,9.959654808044433594e-01,5.135234445333480835e-03
9.611127972602844238e-01,1.308247596025466919e-01,4.805564117431640625e+01,8.399184346199035645e-01,9.793362021446228027e-01,1.748087257146835327e-02,9.956513047218322754e-01,6.650577764958143234e-03
9.731943607330322266e-01,1.316590458154678345e-01,4.865971374511718750e+01,4.060394167900085449e-01,9.918268918991088867e-01,8.376623503863811493e-03,9.976166486740112305e-01,2.807130105793476105e-03
9.706857800483703613e-01,1.314607411623001099e-01,4.853427505493164062e+01,5.132648944854736328e-01,9.892193078994750977e-01,1.064105611294507980e-02,9.969631433486938477e-01,4.123700316995382309e-03
9.669324755668640137e-01,1.312284320592880249e-01,4.834661102294921875e+01,6.698180437088012695e-01,9.852965474128723145e-01,1.393783651292324066e-02,9.972436428070068359e-01,3.797334153205156326e-03
9.393452405929565430e-01,1.292933672666549683e-01,4.696726989746093750e+01,1.269566535949707031e+00,9.566776752471923828e-01,2.638970315456390381e-02,9.929872751235961914e-01,7.766931783407926559e-03
9.620820879936218262e-01,1.311784237623214722e-01,4.810410690307617188e+01,9.196125268936157227e-01,9.802987575531005859e-01,1.914491876959800720e-02,9.953429698944091797e-01,7.238413672894239426e-03
9.631483554840087891e-01,1.312417834997177124e-01,4.815740585327148438e+01,8.881607651710510254e-01,9.814534783363342285e-01,1.848148927092552185e-02,9.957384467124938965e-01,7.253532297909259796e-03
9.708793759346008301e-01,1.314308941364288330e-01,4.854396057128906250e+01,4.744265377521514893e-01,9.894625544548034668e-01,9.827726520597934723e-03,9.972699880599975586e-01,4.539984278380870819e-03
