9.905591607093811035e-01,6.921827048063278198e-02,4.952796554565429688e+01,9.280636906623840332e-01,9.973115921020507812e-01,1.844954118132591248e-02,9.993278980255126953e-01,9.297953918576240540e-03
9.902345538139343262e-01,6.812281906604766846e-02,4.951173782348632812e+01,7.541149854660034180e-01,9.969227313995361328e-01,1.375119294971227646e-02,9.983879327774047852e-01,9.198915213346481323e-03
9.902858138084411621e-01,6.817204505205154419e-02,4.951430130004882812e+01,7.610314488410949707e-01,9.968772530555725098e-01,1.420977711677551270e-02,9.991725683212280273e-01,7.317409384995698929e-03
9.932945370674133301e-01,6.702557206153869629e-02,4.966473007202148438e+01,3.402779698371887207e-01,9.999954700469970703e-01,2.005826245294883847e-04,9.999967813491821289e-01,1.703425368759781122e-04
9.932394623756408691e-01,6.703068315982818604e-02,4.966198348999023438e+01,3.439488112926483154e-01,9.999457597732543945e-01,9.893637616187334061e-04,9.999775290489196777e-01,6.051455857232213020e-04
9.932461380958557129e-01,6.702683866024017334e-02,4.966233444213867188e+01,3.432192206382751465e-01,9.999366402626037598e-01,1.076267333701252937e-03,9.999695420265197754e-01,7.287950720638036728e-04
9.932975769042968750e-01,6.702559441328048706e-02,4.966487884521484375e+01,3.400487303733825684e-01,9.999945163726806641e-01,2.510129997972398996e-04,9.999969005584716797e-01,1.840883051045238972e-04
9.932868480682373047e-01,6.702488660812377930e-02,4.966434097290039062e+01,3.405272960662841797e-01,9.999750852584838867e-01,6.397278630174696445e-04,9.999900460243225098e-01,3.953920677304267883e-04
9.933052062988281250e-01,6.702423095703125000e-02,4.966525650024414062e+01,3.394309878349304199e-01,9.999942183494567871e-01,2.528512559365481138e-04,9.999987483024597168e-01,1.010165724437683821e-04
9.930695295333862305e-01,6.705411523580551147e-02,4.965347290039062500e+01,3.634231686592102051e-01,9.997524023056030273e-01,2.723213052377104759e-03,9.999139904975891113e-01,1.512533403001725674e-03
