6.294871568679809570e-01,3.173463940620422363e-01,3.147435951232910156e+01,1.538058185577392578e+01,6.368997693061828613e-01,3.176445960998535156e-01,7.336193323135375977e-01,2.335887551307678223e-01
5.600807070732116699e-01,2.359788864850997925e-01,2.800403785705566406e+01,1.130034160614013672e+01,5.631574392318725586e-01,2.349363565444946289e-01,6.785933375358581543e-01,1.805228590965270996e-01
7.144322991371154785e-01,2.020311355590820312e-01,3.572161865234375000e+01,9.357393264770507812e+00,7.244285345077514648e-01,1.923545002937316895e-01,7.754358053207397461e-01,1.472562253475189209e-01
4.321102201938629150e-01,2.492167204618453979e-01,2.160551071166992188e+01,1.214396762847900391e+01,4.328413605690002441e-01,2.491730004549026489e-01,5.996249914169311523e-01,1.950599998235702515e-01
6.039831042289733887e-01,2.101354449987411499e-01,3.019915771484375000e+01,9.915615081787109375e+00,6.079184412956237793e-01,2.097616493701934814e-01,6.881330013275146484e-01,1.611790657043457031e-01
4.935501217842102051e-01,2.240838259458541870e-01,2.467750930786132812e+01,1.062405681610107422e+01,4.927576780319213867e-01,2.251463681459426880e-01,6.379884481430053711e-01,1.721792519092559814e-01
7.634515166282653809e-01,2.009675502777099609e-01,3.817257690429687500e+01,9.216170310974121094e+00,7.737457156181335449e-01,1.901391744613647461e-01,8.201597929000854492e-01,1.285428255796432495e-01
4.080014824867248535e-01,2.457168400287628174e-01,2.040007019042968750e+01,1.188554191589355469e+01,4.076031446456909180e-01,2.451969385147094727e-01,5.733869075775146484e-01,1.949849277734756470e-01
6.726275682449340820e-01,2.300347387790679932e-01,3.363137054443359375e+01,1.095538616180419922e+01,6.804327964782714844e-01,2.251486778259277344e-01,7.341181635856628418e-01,1.606351286172866821e-01
7.101879715919494629e-01,2.699097692966461182e-01,3.550940704345703125e+01,1.286407661437988281e+01,7.197132110595703125e-01,2.658980190753936768e-01,7.891354560852050781e-01,1.793655306100845337e-01
